insult,Unnamed: 0,date,target,tweet
not a good one,1,1,1,1
not a fighter,1,1,1,1
not a fan,1,1,1,1
has ZERO credibility,1,1,1,1
looks weak and pathetic,1,1,1,1
has a career that is totally based on a lie,1,1,1,1
illegal and treasonous attack on our Country,1,1,1,1
illegal Witch Hunt that never should have taken place,1,1,1,1
illegal Russia Witch Hunt,1,1,1,1
illegal Rigged Witch Hunt,1,1,1,1
illegal Mueller Witch Hunt,1,1,1,1
has no credibility,1,1,1,1
illegal Joseph McCarthy style Witch Hunt,1,1,1,1
has no effective border laws,1,1,1,1
illegal Democrat inspired Witch Hunt,1,1,1,1
illegal Democrat Witch Hunt,1,1,1,1
illegal,1,1,1,1
ill-fit,1,1,1,1
"if you listen to Carly Fiorina for more than ten minutes straight, you develop a massive headache",1,1,1,1
"if you like high taxes & crime, he’s your man",1,1,1,1
"if he can't manage his campaign, how can he manage our countries finances?",1,1,1,1
"if anything, a major hindrance",1,1,1,1
"if a restaurant is dirty on the outside, it is dirty on the inside!",1,1,1,1
if Jeb Bush were more competent he could not have lost the skirmish with Marco,1,1,1,1
illegal and should never have been started!,1,1,1,1
illegal late night coup,1,1,1,1
has no idea what is happening,1,1,1,1
has no clue!,1,1,1,1
impersonation just can't get any worse,1,1,1,1
illegitimate Impeachment Hoax,1,1,1,1
illegally wiped their phones clean,1,1,1,1
illegally released much Classified Information,1,1,1,1
illegally put out a fundraising notice saying Trump wants you to contribute to the RNC,1,1,1,1
illegally obtained information & only bad intent,1,1,1,1
illegally made up a FAKE & terrible statement Arrest for Treason?,1,1,1,1
illegally leaking information to the press,1,1,1,1
illegally leaked classified documents,1,1,1,1
has no chance!,1,1,1,1
illegally leaked CLASSIFIED INFORMATION but doesn’t understand what he did or how serious it is,1,1,1,1
illegally leak (Comey) classified information,1,1,1,1
illegally in on the SCAM?,1,1,1,1
has no clue,1,1,1,1
illegally circulated,1,1,1,1
illegally buying the Democrat Nomination,1,1,1,1
has no clue what happened,1,1,1,1
"if @amazon ever had to pay fair taxes, its stock would crash and it would crumble like a paper bag",1,1,1,1
"hurting our Country, and they don’t care",1,1,1,1
has long been secretly 'enriching'  in total violation of the terrible 150 Billion Dollar deal made by John Kerry and the Obama Administration,1,1,1,1
horribly negotiated,1,1,1,1
"horrible, will quickly go out of business",1,1,1,1
"horrible, inaccurate and anything but secure",1,1,1,1
has nosedived,1,1,1,1
"horrible, costly and foolish loopholes",1,1,1,1
horrible run for President,1,1,1,1
horrible disaster,1,1,1,1
horrible and vicious prosecutorial past,1,1,1,1
horrible and very unfair,1,1,1,1
has not been so Supreme lately,1,1,1,1
horrible abuses,1,1,1,1
horrible Witch Hunt,1,1,1,1
horrible & politically charged decisions,1,1,1,1
has not covered my long-shot great finish in Iowa fairly,1,1,1,1
horrendously inaccurate and dishonest,1,1,1,1
"horrendous, weak and outdated",1,1,1,1
horrendous people,1,1,1,1
has not reported properly,1,1,1,1
has no touch,1,1,1,1
horrific,1,1,1,1
"hurting our Country, and getting nothing done",1,1,1,1
horrific barriers & tariffs on U.S. products going in,1,1,1,1
has no power,1,1,1,1
hurting our Country so badly,1,1,1,1
has no power in Iowa,1,1,1,1
hurting our Country,1,1,1,1
hurt so many people with his gross incompetence,1,1,1,1
hurt our economic and national security,1,1,1,1
hundreds of thousands of fraudulent votes,1,1,1,1
humiliatingly forced out of his own Senate seat without even a fight,1,1,1,1
has no sources,1,1,1,1
humiliating defeat,1,1,1,1
humiliating 2 Billion Dollar Presidential run,1,1,1,1
how will the media put a negative spin on this one?,1,1,1,1
how the hell did he ever get elected?,1,1,1,1
how different they are from four years ago,1,1,1,1
"has no talent, no TV persona",1,1,1,1
"how come he gave up Classified Information (jail), why did he lie to Congress (jail)",1,1,1,1
hostile,1,1,1,1
"has never created a job in his life (well, maybe a nurse)",1,1,1,1
imploding fast!,1,1,1,1
improperly brought & tainted,1,1,1,1
"has lost control, and lost his mind",1,1,1,1
has lost his energy and his strength,1,1,1,1
inept,1,1,1,1
has lost its way!,1,1,1,1
indoctrinated with a philosophy which will never work,1,1,1,1
"incredibly high, jacked up prices",1,1,1,1
"has lost more money over the last 10 years than any paper in history,",1,1,1,1
incorrect story,1,1,1,1
incorrect and very bad reporting on me!,1,1,1,1
inconceivable that a lawyer would tape a client - totally unheard of & perhaps illegal,1,1,1,1
incompetent!,1,1,1,1
has lost statewide 7 times in a row,1,1,1,1
incompetent you will never have safe streets!,1,1,1,1
has lost tremendous credibility,1,1,1,1
incompetent political hack,1,1,1,1
incompetent leadership,1,1,1,1
incompetent leader,1,1,1,1
incompetent handling of the China Virus,1,1,1,1
inept!,1,1,1,1
has lost control of the hemorrhaging league,1,1,1,1
in COLLUSION with other papers on free press,1,1,1,1
has lost almost all of it's former allure!,1,1,1,1
is doing very badly,1,1,1,1
is doing little to help!,1,1,1,1
"is derelict in its duties if it doesn’t lower the Rate and even, ideally, stimulate",1,1,1,1
is closing in on being the dumbest of them all,1,1,1,1
is being rigged,1,1,1,1
is being done UNDER PROTEST,1,1,1,1
is always looking for money & help,1,1,1,1
is always complaining about Trump and yet she devotes her shows to me,1,1,1,1
is a complete disaster,1,1,1,1
is a catastrophe,1,1,1,1
"is VERY jealous of his wife’s success & angry that I, with her help, didn’t give him the job he so desperately wanted",1,1,1,1
irresponsible intent,1,1,1,1
"irrelevant clown, sweats and shakes nervously",1,1,1,1
has lost all control of Congress,1,1,1,1
investigating an event that never happened,1,1,1,1
interfering in the 2020 Presidential Election,1,1,1,1
interfering in the 2020 Election,1,1,1,1
"incompetent Mayor, budget is totally out of control",1,1,1,1
"incompetent Do Nothing Democrat comrades are all talk, no action",1,1,1,1
has made all of the wrong moves,1,1,1,1
has made serious bad calls,1,1,1,1
has never been more inaccurate or corrupt than it is today,1,1,1,1
in the bag!,1,1,1,1
in terrible shape,1,1,1,1
in such horrible shape,1,1,1,1
in serious trouble,1,1,1,1
has never been so wrong or so dirty,1,1,1,1
in pocket of Wall Street,1,1,1,1
in love with Marco Rubio?,1,1,1,1
in certain ways worse and more dangerous for our Country than the Do Nothing Democrats,1,1,1,1
in big trouble,1,1,1,1
in bed w/ Wall St.,1,1,1,1
in bad condition,1,1,1,1
has never created a job in her life,1,1,1,1
in a total meltdown,1,1,1,1
in a near drunken state,1,1,1,1
in a death spiral!,1,1,1,1
in a death spiral,1,1,1,1
in the end he had no support,1,1,1,1
in the end just slinked away into obscurity,1,1,1,1
"in the end, had no game!",1,1,1,1
incapable of saying anything positive,1,1,1,1
has never been a nice or kind guy,1,1,1,1
incompetence!,1,1,1,1
has never been as corrupt and deranged as it is today,1,1,1,1
incompetence of our current administration is beyond comprehension,1,1,1,1
has never been more corrupt than it is right now,1,1,1,1
incoherent with anger,1,1,1,1
incapable of understanding foreign policy,1,1,1,1
incapable of making great trade deals,1,1,1,1
in the tank for Clinton,1,1,1,1
incapable of doing anything.,1,1,1,1
incapable of doing a good and solid Immigration Bill!,1,1,1,1
"inaccurate, and even fraudulent, reporting of the news",1,1,1,1
inaccurate stories,1,1,1,1
in violation of many sanitary & environmental orders,1,1,1,1
in turmoil,1,1,1,1
in the way of our great agenda,1,1,1,1
has one of the worst reporters in the business,1,1,1,1
has only created jobs at the FBI and DOJ!,1,1,1,1
hopping,1,1,1,1
haven’t got a clue,1,1,1,1
hate laced speeches,1,1,1,1
have truly gone MAD!,1,1,1,1
hater,1,1,1,1
hater & racist,1,1,1,1
have totally forgotten about DACA,1,1,1,1
hates Israel and all Jewish people,1,1,1,1
have stifled growth to a point where it is obvious to all,1,1,1,1
hates New York,1,1,1,1
have spent 3 1/2 years illegally smearing me,1,1,1,1
have politicized the sacred investigative process,1,1,1,1
have only confirmed 48 of 197 Presidential Nominees,1,1,1,1
hates me saying that they are the Enemy of the People only because they know it’s TRUE,1,1,1,1
have no policies or ideas,1,1,1,1
have no one who can change tones!,1,1,1,1
"have no message, not on economics, not on taxes, not on jobs, not on failing #Obamacare",1,1,1,1
have no intention of doing anything other going on a fishing expedition to see if they can find anything on me,1,1,1,1
hates the fact that I have developed a great relationship with World leaders like Xi Jinping,1,1,1,1
hate Israel with a true and unbridled passion,1,1,1,1
having a field day as real corruption goes untouched,1,1,1,1
he is not smart!,1,1,1,1
having a really bad night,1,1,1,1
he is mentally deranged!,1,1,1,1
he is just so bad!,1,1,1,1
he is clueless,1,1,1,1
"he is a choker, and once a choker, always a choker!",1,1,1,1
he has no sense of the real world!,1,1,1,1
he has become a blathering idiot,1,1,1,1
he has accomplished absolutely nothing,1,1,1,1
has worked unsuccessfully for 3 years to hurt the Republican Party and President,1,1,1,1
he got thrown out,1,1,1,1
he did not poll well as mayor in handling crisis!,1,1,1,1
has zero chance,1,1,1,1
has zero cred,1,1,1,1
he came in dead last,1,1,1,1
he broke the law!,1,1,1,1
he NEVER did ANYTHING!,1,1,1,1
he LIED,1,1,1,1
having worst year in decades,1,1,1,1
have no intention of doing anything,1,1,1,1
hates to discuss the real facts!,1,1,1,1
have no answer,1,1,1,1
hates when I use what has turned out to be my very powerful Social Media,1,1,1,1
have become so totally “unhinged”,1,1,1,1
have gone Crazy,1,1,1,1
have given us the weakest immigration laws anywhere in the World,1,1,1,1
have fooled the people,1,1,1,1
have done nothing but waste time on this ridiculous Witch Hunt,1,1,1,1
have done great harm to our Country,1,1,1,1
have done NOTHING for years,1,1,1,1
have become the do nothing Party!,1,1,1,1
have done NOTHING for African-Americans but TALK,1,1,1,1
have depleted our military and busted our budgets on needless spending,1,1,1,1
have become totally unhinged,1,1,1,1
have been complaining for months,1,1,1,1
have been illegally after me and my family for years,1,1,1,1
have called it wrong at every step of the way,1,1,1,1
have been ‘milking’ their country for years!,1,1,1,1
have been seriously wrong for 5 years,1,1,1,1
have been told he is a pompous fool,1,1,1,1
have gone Stone Cold Left - Venezuela on steroids!,1,1,1,1
have gone absolutely crazy,1,1,1,1
have become nothing but OBSTRUCTIONISTS,1,1,1,1
have got to stop working to be so politically correct,1,1,1,1
have made U.S. a mess!,1,1,1,1
have lost tremendous credibility,1,1,1,1
have lost touch!,1,1,1,1
hating fraud,1,1,1,1
have lost all credibility,1,1,1,1
have had 100 years and they gave you nothing but heartache,1,1,1,1
have gotten it wrong for two years,1,1,1,1
have gone “nuts”,1,1,1,1
have become a total joke,1,1,1,1
hatred and extreme bias of me,1,1,1,1
have Zero credibility and are losing a fortune,1,1,1,1
have gone stone cold CRAZY,1,1,1,1
have gone so far LEFT that they are no longer recognizable,1,1,1,1
have gone bonkers & no longer care what is right or wrong,1,1,1,1
have become a JOKE!,1,1,1,1
have gone absolutely nuts,1,1,1,1
he is not liked,1,1,1,1
has violated campaign finance laws at the highest and most sinister level,1,1,1,1
has paid ZERO respect to the great police and law enforcement professionals,1,1,1,1
his mind exploded!,1,1,1,1
his last term as Mayor was a disaster!,1,1,1,1
"has shown great disrespect for their neighbor, China",1,1,1,1
highly unpopular,1,1,1,1
highly unethical,1,1,1,1
highly slanted,1,1,1,1
has so badly hurt our Country,1,1,1,1
"has such great potential but right now it is just a club for people to get together, talk and have a good time",1,1,1,1
highly neurotic,1,1,1,1
highly inaccurate Fake News hit job!,1,1,1,1
highly conflicted (and NOT Senate approved),1,1,1,1
high taxing,1,1,1,1
high crime,1,1,1,1
he’s lost all credibility!,1,1,1,1
"he’s bleeding profusely, and is no longer ‘hot’",1,1,1,1
he’s a Flake!,1,1,1,1
he’s COMPROMISED,1,1,1,1
he’ll go back to basement soon!,1,1,1,1
his lying is getting worse,1,1,1,1
his political career anyway is 'toast',1,1,1,1
he is only looking at one side and not the other,1,1,1,1
his political career is over!,1,1,1,1
hopeless ‘presidential’ campaign,1,1,1,1
honesty & truth don’t matter to them,1,1,1,1
has proven to be TERRIBLE,1,1,1,1
holds the Bible high and then lies and misrepresents the facts!,1,1,1,1
holding our Military hostage over their desire to have unchecked illegal immigration,1,1,1,1
has really checked out,1,1,1,1
hokey garbage,1,1,1,1
hoax!,1,1,1,1
has received too many shots to the head by real boxers in movies,1,1,1,1
hit job,1,1,1,1
his testimony was a total lie!,1,1,1,1
his record = BAD,1,1,1,1
has shattered so many innocent lives,1,1,1,1
his ratings suck,1,1,1,1
his proposal was a rip off,1,1,1,1
his predictions are always wrong,1,1,1,1
his poll numbers are PLUNGING!,1,1,1,1
has taken advantage of the United States for decades,1,1,1,1
her record is so bad,1,1,1,1
has taken advantage of the United States for many years,1,1,1,1
her leadership has passed no meaningful Legislation,1,1,1,1
he thinks he would have won against me. He should say that but I say NO WAY!,1,1,1,1
has totally gone against the Social Media Guidelines that they installed,1,1,1,1
"he should have been nicer, and more respectful, to his President!",1,1,1,1
he should go home and relax!,1,1,1,1
has totally sold out,1,1,1,1
has tremendous problems!,1,1,1,1
he seldom ‘brought home the bacon’,1,1,1,1
he pretends to have the answers. He doesn’t even know the questions,1,1,1,1
he lost total control,1,1,1,1
he leaked classified information,1,1,1,1
he knows very little about me,1,1,1,1
has very little chance,1,1,1,1
he knows nothing!,1,1,1,1
he just wants to shut down and go home to bed!,1,1,1,1
he is supposed to know the law,1,1,1,1
has very small and unenthusiastic crowds in Pennsylvania,1,1,1,1
he is scamming Florida,1,1,1,1
has totally given up on his fight for the people,1,1,1,1
he will fall like all others,1,1,1,1
he won’t last long!,1,1,1,1
has the worst jobs record in the United States,1,1,1,1
her judgement has been proven to be so bad!,1,1,1,1
her bad show is a total hit piece on me,1,1,1,1
has taken advantage of us on Trade,1,1,1,1
hemorrhaging,1,1,1,1
has the worst Crime Statistics in the Nation,1,1,1,1
"helping China and their military, but not the U.S.. Terrible!",1,1,1,1
helped President O give us the bad Iran Deal,1,1,1,1
heavily promoting the Democrats,1,1,1,1
has to team up with a guy who openly can't stand him,1,1,1,1
heavily conflicted,1,1,1,1
heard really bad things,1,1,1,1
headline,1,1,1,1
headed by complete unknowns,1,1,1,1
has to get his delegates from the Republican bosses,1,1,1,1
"he's bottom (and gone), I'm top (by a lot)",1,1,1,1
he would be so easy to beat!,1,1,1,1
is drawing flies not people to his rallies,1,1,1,1
has long been considered one of the dumbest men in the world of journalism,1,1,1,1
lousy,1,1,1,1
has been no help!,1,1,1,1
lied all over the place,1,1,1,1
lied about (fraudulent) Dossier leaks,1,1,1,1
has been playing his biggest con of all,1,1,1,1
lied & cheated,1,1,1,1
has been politically weak all of his life,1,1,1,1
lie!,1,1,1,1
lie,1,1,1,1
liddle' Bob Corker,1,1,1,1
"licenses must be challenged and, if appropriate, revoked",1,1,1,1
liberal clown,1,1,1,1
liberal,1,1,1,1
libel,1,1,1,1
liar,1,1,1,1
has been run into the ground,1,1,1,1
letting us down,1,1,1,1
letting millions of GREAT people down,1,1,1,1
has been so wrong & he hates it!,1,1,1,1
lied and leaked and totally protected Hillary Clinton,1,1,1,1
lied in Congress to Senator G,1,1,1,1
let the Unions down,1,1,1,1
lied last week,1,1,1,1
has been confused for forty years,1,1,1,1
has been doing poorly,1,1,1,1
has been dumped like a dog by almost everyone,1,1,1,1
has been fighting me and my Make America Great Again agenda from beginning,1,1,1,1
has been formally PUT ON NOTICE,1,1,1,1
has been horrible on Virginia economy,1,1,1,1
"has been in politics for 40 years, and did nothing",1,1,1,1
has been involved in corruption for most of her professional life!,1,1,1,1
lies so much and is so dishonest,1,1,1,1
"lies on Russia, Football (PLAY!) and everything else!",1,1,1,1
lies like a dog-over and over again!,1,1,1,1
lies for sentence reduction!,1,1,1,1
has been largely forgotten,1,1,1,1
lied to the FBI and to the people of our country,1,1,1,1
lied to Congress under OATH,1,1,1,1
lied to Congress and attempted to defraud the American Public,1,1,1,1
has been no help,1,1,1,1
let us all down in the last presidential race,1,1,1,1
has been terrible,1,1,1,1
is getting NOTHING DONE,1,1,1,1
leaked information and laundered it through a professor at Columbia Law School,1,1,1,1
has called me wrong right from the beginning!,1,1,1,1
leaked CLASSIFIED INFORMATION to the media. That is so illegal!,1,1,1,1
leadership was a disaster!,1,1,1,1
leadership spends all of its money on Terror and little on anything else,1,1,1,1
leaders don’t have a clue (or do they?)!,1,1,1,1
has caused great damage,1,1,1,1
lazy as hell,1,1,1,1
lazy,1,1,1,1
lawless cities,1,1,1,1
launched her political career by letting terrorists off the hook,1,1,1,1
laughed at all over the world,1,1,1,1
laughable!,1,1,1,1
last place show,1,1,1,1
last in his class,1,1,1,1
largely responsible for the horrendous Iran Deal!,1,1,1,1
large scale false reporting,1,1,1,1
lapdogs,1,1,1,1
"leaked CLASSIFIED information, for which he should be prosecuted",1,1,1,1
leaked the General Flynn conversation?,1,1,1,1
has been treating me very unfairly,1,1,1,1
leaker,1,1,1,1
has been very unhelpful to me in my campaign to MAGA,1,1,1,1
let his best friend L.G. down!,1,1,1,1
has been wrong about me from the very beginning,1,1,1,1
let China get away with “murder!”,1,1,1,1
lesser brother of a failed presidential candidate,1,1,1,1
less professional than anticipated by those paying (or not paying) the bills!,1,1,1,1
left town and are not concerned about the safety and security of Americans!,1,1,1,1
led through lies and deception,1,1,1,1
led Obama into bad decisions!,1,1,1,1
leaving his Party in the lurch,1,1,1,1
leaves closed committee hearings to illegally leak confidential information,1,1,1,1
leakin’ James Comey,1,1,1,1
has brought great danger to the steps of the United States Supreme Court,1,1,1,1
leaking machines who have NO interest in going after the Real Collusion,1,1,1,1
has called it wrong from the beginning,1,1,1,1
"has called it wrong, and only let us down",1,1,1,1
leaking,1,1,1,1
"lies, misrepresentations and contradictions",1,1,1,1
has been calling me wrong for two years,1,1,1,1
has been calling it wrong for too long,1,1,1,1
losing big,1,1,1,1
has abandoned his supporters,1,1,1,1
losing a lot of money,1,1,1,1
losing a fortune,1,1,1,1
loses a fortune,1,1,1,1
has allowed her District to go down more than any other in the USA,1,1,1,1
has already been refuted and discredited,1,1,1,1
has already proven to be a liar,1,1,1,1
has already proven to be inaccurately reported,1,1,1,1
loser types,1,1,1,1
"has also committed a crime, perhaps treason",1,1,1,1
looted millions from China. Bad!,1,1,1,1
has also done a terrible job,1,1,1,1
have been taking from the U.S. with unfair trade practices and currency manipulation,1,1,1,1
looks to be in big trouble in the Great State of Montana!,1,1,1,1
"looks terrible, exhausted, gaunt, and weak",1,1,1,1
looks odd,1,1,1,1
looks more like a gym rat than a U.S. Senator,1,1,1,1
losing all credibility,1,1,1,1
losing for years,1,1,1,1
lightweight Washington failure,1,1,1,1
losing lots of money,1,1,1,1
has a horrible attitude,1,1,1,1
"lost to the looters, thugs, Radical Left, and all others forms of Lowlife & Scum",1,1,1,1
lost their ratings,1,1,1,1
lost the impeachment debate,1,1,1,1
has a horrible reputation,1,1,1,1
has a major inferiority complex,1,1,1,1
has a massive crime problem,1,1,1,1
lost the debates and lost her direction!,1,1,1,1
lost the confidence of almost everyone in Washington,1,1,1,1
lost it's way,1,1,1,1
"lost in his second term by a landslide, then failed in radio",1,1,1,1
lost his way long ago,1,1,1,1
lost an election that should have easily been won,1,1,1,1
has a nasty mouth,1,1,1,1
losing thousands of subscribers because of their very poor and highly inaccurate coverage of the “Trump phenomena”,1,1,1,1
has a terrible record,1,1,1,1
"losing many billions of dollars a year, while charging Amazon and others so little to deliver their packages",1,1,1,1
looks more and more like a paper tiger,1,1,1,1
has bad judgment!,1,1,1,1
looks like it is on its last legs,1,1,1,1
looks like he has raided and scammed even more countries,1,1,1,1
living in a world of the make believe!,1,1,1,1
has become politically correct,1,1,1,1
little power,1,1,1,1
little Eric Schneiderman,1,1,1,1
"has become so partisan, distorted and fake",1,1,1,1
little Adam Schitt,1,1,1,1
has become totally unhinged,1,1,1,1
little,1,1,1,1
likes to say that I am not totally engaged in healthcare,1,1,1,1
has been a part of every failed decision for decades,1,1,1,1
like to call themselves ‘Elite’ but they are not Elite,1,1,1,1
like a stubborn child,1,1,1,1
has been a scam right from the beginning,1,1,1,1
has been able to do so little for the people of Baltimore,1,1,1,1
lightweight mayor,1,1,1,1
lightweight journalist,1,1,1,1
lightweight choker,1,1,1,1
loaded up with 13 Angry Democrat Trump Haters later increased to 18,1,1,1,1
lobbyist newspaper,1,1,1,1
lonely,1,1,1,1
looking more & more like a crime family,1,1,1,1
looks like a tabloid,1,1,1,1
has become a dumping ground for the world,1,1,1,1
looks and sounds so ridiculous,1,1,1,1
looking ‘the fool’,1,1,1,1
looking to inflict pain and embarrassment,1,1,1,1
has become a ghost town,1,1,1,1
looking so dumb,1,1,1,1
looking for trouble,1,1,1,1
long & boring story,1,1,1,1
looking for a new puppet,1,1,1,1
looked at less than 1% of Crooked’s Emails!,1,1,1,1
look at the horrible things they said about our Country Israel and much more,1,1,1,1
look at all of the bad decisions she has made,1,1,1,1
"long, winding and highly conflicted Mueller Witch Hunt",1,1,1,1
long time Never Trumper lawyer,1,1,1,1
long time CROOK,1,1,1,1
kooky,1,1,1,1
knows so little about politics,1,1,1,1
knows nothing about reading a perfect transcript,1,1,1,1
"just another Fake News Media, together with their partner, the Democrat Party, HOAX",1,1,1,1
has gone totally bonkers!,1,1,1,1
just another Democrat Hoax,1,1,1,1
just about the most inaccurate poll around election time!,1,1,1,1
just a puppet for Schumer & Pelosi,1,1,1,1
has gone wild with hate,1,1,1,1
"just a poor man’s version of Don King, but without the hair",1,1,1,1
just a poor man’s lapdog,1,1,1,1
just a political ad for the Dems,1,1,1,1
just a 3rd rate 'gotcha' guy!,1,1,1,1
judgement so bad,1,1,1,1
"judgement has killed thousands, unleashed ISIS and wrecked the economy",1,1,1,1
joke of a mayor,1,1,1,1
joke of a deal,1,1,1,1
job killing,1,1,1,1
job is in jeopardy,1,1,1,1
jeopardizing the safety of our troops to bail out their donors,1,1,1,1
its reputation is in Tatters,1,1,1,1
just another Democrat Hoax that I have had to live with from the day I got elected (and before!),1,1,1,1
just another Washington D.C. politician,1,1,1,1
just doesn't work,1,1,1,1
"just another all talk, no action, politician",1,1,1,1
has gone crazy against me,1,1,1,1
has gone nasty with lies,1,1,1,1
just doesn't have IT!,1,1,1,1
has gone nuts,1,1,1,1
just can’t keep his mouth shut,1,1,1,1
has gone really hostile ever since I said I won't do or watch the show anymore,1,1,1,1
just can't go on any longer,1,1,1,1
just can't get it right!,1,1,1,1
just can't forget his election trouncing,1,1,1,1
just as bad as the flawed tests he paid big money for!,1,1,1,1
has gone so far to the left that she has now officially become a Radical Democrat,1,1,1,1
just as Corrupt and Fake as all of the other garbage that went on before it,1,1,1,1
just aren’t calling about DACA,1,1,1,1
just another political CON JOB,1,1,1,1
just another made up by Fake News tale,1,1,1,1
just another dishonest politician,1,1,1,1
just another assault against me,1,1,1,1
it's the Democrat's total weakness that is the greatest recruiting tool of ISIS!!!,1,1,1,1
it will pass away when I leave office in 6 years,1,1,1,1
it will only get worse!,1,1,1,1
"it was the ‘incompetence of China’, and nothing else, that did this mass Worldwide killing!",1,1,1,1
is so embarrassed by their total (100%) support of Hillary Clinton,1,1,1,1
is rapidly losing credibility,1,1,1,1
is only upset that I didn’t want him back in the Administration (where he desperately wanted to be),1,1,1,1
is not the man that his brother is,1,1,1,1
is not in the same league with Ted Cruz,1,1,1,1
has let the people of Montana down,1,1,1,1
is not giving us credit for the tremendous progress we have made with North Korea,1,1,1,1
our country needs more energy and spirit than you can provide!,1,1,1,1
"is lying when he says his disruptors aren't told to go to my events. Be careful Bernie, or my supporters will go to yours!",1,1,1,1
is last in everything,1,1,1,1
is in serious financial trouble,1,1,1,1
is in no mental condition to have such a Clearance. Should be REVOKED?,1,1,1,1
has little interest in helping out the ‘people’,1,1,1,1
is hurting our Military,1,1,1,1
is holding us back,1,1,1,1
is he a Flake?,1,1,1,1
is going CRAZY,1,1,1,1
is still lost!,1,1,1,1
has knowingly written a very inaccurate story,1,1,1,1
is used to get an almost guaranteed result,1,1,1,1
has it purposely wrong,1,1,1,1
has gotten even worse since the election,1,1,1,1
"it was impossible for me to lose, unless FIXED!",1,1,1,1
it was all a big lie,1,1,1,1
it rewarded Chris Cuomo with a now unsuccessful prime time slot,1,1,1,1
"it is no wonder ESPN ratings have 'tanked,' in fact, tanked so badly it is the talk of the industry!",1,1,1,1
it is easy to see why unions are doing so poorly,1,1,1,1
has gotten worse and worse,1,1,1,1
it is FAKE NEWS!,1,1,1,1
is very unfair,1,1,1,1
it has become Fake News,1,1,1,1
isn’t doing her job,1,1,1,1
isn't voluntarily leaving the Apprentice,1,1,1,1
has it wrong,1,1,1,1
has knowingly committed fraud,1,1,1,1
isn't smart enough to know what's going on at the border,1,1,1,1
is wrong again!,1,1,1,1
just doesn't know about winning,1,1,1,1
just doesn’t get what’s happening,1,1,1,1
knows nothing about me or my religion,1,1,1,1
know NOTHING,1,1,1,1
killing the Democrat Party!,1,1,1,1
killing our cities,1,1,1,1
killing R's in Senate,1,1,1,1
killing Meet the Press,1,1,1,1
killers,1,1,1,1
has done a terrible job of forest management,1,1,1,1
killed jobs!,1,1,1,1
kidding themselves,1,1,1,1
has done a terrible job representing workers,1,1,1,1
has done a terrible job. foolishly 'nasty',1,1,1,1
kicked out of the ABC news debate like a dog,1,1,1,1
keep writing phony stories,1,1,1,1
has done a very poor job for his district and the City of Baltimore,1,1,1,1
has done nothing but betray you for 47 long years,1,1,1,1
"just, as always, looking for trouble",1,1,1,1
"just write whatever they want to write, making up sources along the way!",1,1,1,1
has done nothing but milk Baltimore dry,1,1,1,1
has done a terrible job for the people of his district and of Baltimore itself,1,1,1,1
know nothing,1,1,1,1
just doesn’t want to report the facts,1,1,1,1
knowingly bad reporting!,1,1,1,1
knows nothing about me and is not given access,1,1,1,1
has deceived the public by putting women front and center with made-up stories and lies,1,1,1,1
knows nothing about finance,1,1,1,1
"knows ZERO about me, has NO talent, and truly doesn’t have the “it” factor needed for success in showbiz",1,1,1,1
knows NOTHING about me,1,1,1,1
known for pushing people and businesses out of his state,1,1,1,1
has disgraced the media world,1,1,1,1
known for disinformation,1,1,1,1
knowingly wrong on almost every fact,1,1,1,1
has done a poor job,1,1,1,1
knowingly writes false information,1,1,1,1
knowingly inaccurate,1,1,1,1
has done a poor job with economic development,1,1,1,1
has done a really bad job on taking care of the homeless population in California,1,1,1,1
knowingly getting the Russia Collusion Delusion story so wrong,1,1,1,1
knowingly doesn't tell the truth,1,1,1,1
has done a really poor job!,1,1,1,1
just wants to use his Oversight Committee to hurt innocent people and divide our Country!,1,1,1,1
just want to destroy and delay,1,1,1,1
just want a do-over which they’ll never get!,1,1,1,1
has done nothing!,1,1,1,1
just made a fool of himself,1,1,1,1
just looking for attention,1,1,1,1
just lied again,1,1,1,1
just interested in politics,1,1,1,1
just hopeless,1,1,1,1
has failed miserably,1,1,1,1
has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years,1,1,1,1
has for many years treated the USA very badly on Trade,1,1,1,1
has given up on ‘figuring Trump out’,1,1,1,1
"has given you nothing, and never will",1,1,1,1
just got destroyed in his interview with Stephen Miller,1,1,1,1
has gone Crazy Fake News,1,1,1,1
"just got contact lenses and got rid of the glasses. He wants to look cool, but it's far too late",1,1,1,1
just got caught in a big lie,1,1,1,1
just gave a disastrous news conference,1,1,1,1
has gone absolutely insane,1,1,1,1
just don’t get what is going on out there,1,1,1,1
just made up,1,1,1,1
just made up lies!,1,1,1,1
just not getting there,1,1,1,1
has done such a complete fold,1,1,1,1
just wait ’till the Courts get to see your unrevealed Conflicts of Interest!,1,1,1,1
just totally bombed,1,1,1,1
just threw Andrew McCabe ‘under the bus’,1,1,1,1
just the beginning & it's going to get worse,1,1,1,1
just talk!,1,1,1,1
just talk,1,1,1,1
just takes our money,1,1,1,1
has embarrassed all by making very dumb political statements about me,1,1,1,1
just plain Fake News,1,1,1,1
"just take a look, a stone cold LOSER & husband from hell!",1,1,1,1
just stole my campaign slogan,1,1,1,1
has failed badly!,1,1,1,1
just someone looking for trouble,1,1,1,1
just ranked the second deadliest country in the world,1,1,1,1
just playing games,1,1,1,1
just plain dumb!,1,1,1,1
