insult,Unnamed: 0,date,target,tweet
So bad for our Country!,4,4,4,4
Liddle’ Adam Schiff,4,4,4,4
Phony,4,4,4,4
Pathetic!,4,4,4,4
Really sad,4,4,4,4
Sleepy Joe!,4,4,4,4
weak and pathetic,4,4,4,4
totally out of control,4,4,4,4
so dishonest,4,4,4,4
fraudulent,4,4,4,4
Slow Joe,4,4,4,4
dying in the ratings,4,4,4,4
Radical Left Dems,4,4,4,4
Obstruction,3,3,3,3
Psycho,3,3,3,3
incompetence,3,3,3,3
so easy to beat!,3,3,3,3
in favor of the Democrats,3,3,3,3
losers,3,3,3,3
weak & ineffective,3,3,3,3
low-life,3,3,3,3
weak on Crime,3,3,3,3
Obstructionists,3,3,3,3
Fake News Lamestream Media,3,3,3,3
has made so many mistakes,3,3,3,3
Fake Polls,3,3,3,3
bad!,3,3,3,3
solely responsible for the potential loss of our two GREAT Senators from Georgia,3,3,3,3
lost all credibility,3,3,3,3
low energy,3,3,3,3
CORRUPT,3,3,3,3
Deface the Nation,3,3,3,3
Not fair,3,3,3,3
leaders are doing little,3,3,3,3
Lyin’ Brian Williams,3,3,3,3
anti-Trump,3,3,3,3
"the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption",3,3,3,3
an outrage,3,3,3,3
totally corrupt,3,3,3,3
hoax,3,3,3,3
Cryin Chuck,3,3,3,3
the Enemy of the People!,3,3,3,3
discredited,3,3,3,3
killing the Great State of Virginia,3,3,3,3
boring,3,3,3,3
the dumbest man on television,3,3,3,3
campaign is a disaster,3,3,3,3
so biased toward the Dems it is ridiculous!,3,3,3,3
very dumb,3,3,3,3
Little Rocket Man,3,3,3,3
Little Ben,3,3,3,3
the Radical Left,3,3,3,3
didn’t have a clue,3,3,3,3
Da Nang Dick,3,3,3,3
bought and paid for by lobbyists!,3,3,3,3
dangerous,3,3,3,3
Crazy!,3,3,3,3
Collusion Delusion,3,3,3,3
did a terrible job,3,3,3,3
spied on my campaign,3,3,3,3
very weak and untalented,3,3,3,3
a total hoax,3,3,3,3
very weak on illegal immigration,3,3,3,3
a total loser,3,3,3,3
Fake Story,3,3,3,3
bad judgment,3,3,3,3
Failing @nytimes,3,3,3,3
Corrupt Media,3,3,3,3
has zero credibility,3,3,3,3
Failed presidential candidate,3,3,3,3
"tremendous leaking, lying and corruption at the highest levels",3,3,3,3
disloyal,3,3,3,3
bad judgement,3,3,3,3
Highly conflicted,3,3,3,3
totally unhinged,3,3,3,3
did NOTHING about North Korea,3,3,3,3
totally unelectable,3,3,3,3
very slow on Signature Verification,3,3,3,3
irrelevant,3,3,3,3
the worst,3,3,3,3
a total mess,3,3,3,3
Very unfair!,3,3,3,3
weak and ineffective,3,3,3,3
BAD,3,3,3,3
phony story,3,3,3,3
a fraud,3,3,3,3
phony sources,3,3,3,3
a clown,3,3,3,3
falling apart,3,3,3,3
phony Native American heritage,3,3,3,3
A total Witch Hunt!,3,3,3,3
failed for many years,3,3,3,3
Totally biased,3,3,3,3
not very bright,3,3,3,3
phony Impeachment Hoax,3,3,3,3
THUGS,3,3,3,3
a liar,3,3,3,3
Terrible,3,3,3,3
Trump haters,3,3,3,3
not presidential material,3,3,3,3
doing nothing for the United States but taking our money,3,3,3,3
even dumber,3,3,3,3
a complete and total disaster,3,3,3,3
a complete disaster,3,3,3,3
a disgrace to journalism,3,3,3,3
poorly run,3,3,3,3
a disaster!,3,3,3,3
obnoxious,3,3,3,3
failing badly,3,3,3,3
poor leadership,3,3,3,3
Slippery,3,3,3,3
failed policies,3,3,3,3
Sleepy Eyes Chuck Todd,3,3,3,3
They will never learn!,3,3,3,3
no talent,3,3,3,3
failing pol,3,3,3,3
obstructionists,3,3,3,3
a disgrace!,3,3,3,3
Will be wacky in the unemployment line,3,3,3,3
So sad!,3,3,3,3
They don’t have a clue!,3,3,3,3
exhausted,3,3,3,3
responsible for backing Animal Assad,3,3,3,3
VERY weak on illegal immigration,3,3,3,3
really bad,3,3,3,3
no more Bushes,3,3,3,3
WITCH HUNT,3,3,3,3
Ridiculous!,3,3,3,3
Radical Left Hater,3,3,3,3
so bad for our Country,3,3,3,3
lyin',3,3,3,3
should resign,3,3,3,3
sick,3,3,3,3
sleepy eyes,3,3,3,3
fighting over table scraps,3,3,3,3
working overtime spewing every lie in the book to make sure they can demean and disparage,3,3,3,3
weak on illegal immigration,3,3,3,3
Very dishonest,3,3,3,3
Wrong!,2,2,2,2
they will never change!,2,2,2,2
their credibility will be forever gone!,2,2,2,2
illegal leaks,2,2,2,2
The hatred Comcast has is amazing!,2,2,2,2
ratings challenged,2,2,2,2
big fans of being weak and passive with Iran,2,2,2,2
They have a Death Wish,2,2,2,2
not nice!,2,2,2,2
ratings starved,2,2,2,2
third rate Washington post reporter,2,2,2,2
Hostile,2,2,2,2
third-rate-reporter,2,2,2,2
a Pelosi puppet,2,2,2,2
Wrong,2,2,2,2
pretended to be an insider when in fact he was nothing more than a gofer,2,2,2,2
too much staff being paid way too much money,2,2,2,2
insane,2,2,2,2
bad for our country,2,2,2,2
really blew it,2,2,2,2
really boring,2,2,2,2
horror show,2,2,2,2
being taunted and played at a level that our great Country has never seen before,2,2,2,2
faulty thought process,2,2,2,2
puppet!,2,2,2,2
they don't have a clue!,2,2,2,2
bad reporter,2,2,2,2
These people are sick!,2,2,2,2
incompetent & corrupt,2,2,2,2
putting out so much Fake News,2,2,2,2
not qualified,2,2,2,2
a Corrupt Politician,2,2,2,2
incorrectly reported (as usual),2,2,2,2
pushing the false narrative that I want to raise taxes,2,2,2,2
they can’t stand her and her hatred of our Country,2,2,2,2
their prizes should be taken away by the Committee!,2,2,2,2
He is a mess!,2,2,2,2
not very good or professional,2,2,2,2
not good,2,2,2,2
not funny/no talent,2,2,2,2
[one] of the dumbest people in politics,2,2,2,2
in total disarray,2,2,2,2
they have a very small audience!,2,2,2,2
a HOAX,2,2,2,2
they haven’t changed (get new pollsters),2,2,2,2
purposely misquoted my call,2,2,2,2
I don't watch,2,2,2,2
a Hoax,2,2,2,2
bears NO relationship to the Truth or Facts,2,2,2,2
purposely mischaracterized my statement,2,2,2,2
a JOKE,2,2,2,2
"begged me for a job, tears in her eyes",2,2,2,2
not as important or as powerful as Social Media,2,2,2,2
bad reporting,2,2,2,2
total Obstruction,2,2,2,2
totally biased against me,2,2,2,2
total failure,2,2,2,2
VERY UNFAIR!,2,2,2,2
"Fake News,  Fake & Dishonest reporting",2,2,2,2
WRONG,2,2,2,2
VERY dishonest,2,2,2,2
have totally tanked,2,2,2,2
continuation of the greatest Witch Hunt in American history,2,2,2,2
Fake Poll,2,2,2,2
Fake Polling,2,2,2,2
Wacky Omarosa,2,2,2,2
poorly rated Fake News,2,2,2,2
"constantly quote anonymous sources that, in my opinion, don’t exist",2,2,2,2
have typically written false stories,2,2,2,2
Trump hater,2,2,2,2
Trump Haters and Angry Democrats,2,2,2,2
"Truly, the Enemy of the People!",2,2,2,2
Truly unprofessional,2,2,2,2
Weak,2,2,2,2
Very Unfair!,2,2,2,2
Fake News is working overtime!,2,2,2,2
have no idea the problems they are causing for themselves,2,2,2,2
corrupt Fake News,2,2,2,2
Very unfair,2,2,2,2
Fake News @nytimes,2,2,2,2
Very sad!,2,2,2,2
Very sad,2,2,2,2
out of business in 7 years!,2,2,2,2
ultra liberal,2,2,2,2
Very low ratings,2,2,2,2
WEAK leadership,2,2,2,2
Fake News Media!,2,2,2,2
corrupt politician Adam “Shifty” Schiff,2,2,2,2
Fake News Network,2,2,2,2
Fake News Networks,2,2,2,2
have gone totally CRAZY,2,2,2,2
have gone totally insane!,2,2,2,2
trying to STEAL this Election,2,2,2,2
Totally dishonest,2,2,2,2
Fake and Corrupt Media,2,2,2,2
Fake and Corrupt News,2,2,2,2
They will say anything,2,2,2,2
Who should star in a reboot of Liar Liar- Hillary Clinton or Ted Cruz? Let me know,2,2,2,2
playing big currency manipulation game,2,2,2,2
playing the Currency Devaluation game,2,2,2,2
politically correct,2,2,2,2
totally discredited,2,2,2,2
poll numbers are tanking like seldom seen before,2,2,2,2
totally conflicted,2,2,2,2
"They probably knew it was Fake News but, because it was a rally against me, they pushed it hard anyway",2,2,2,2
hollowing out our military,2,2,2,2
totally Crooked,2,2,2,2
Have Zero credibility,2,2,2,2
poor,2,2,2,2
horrendous lack of vision,2,2,2,2
total mess,2,2,2,2
poorly rated,2,2,2,2
totally in the Hillary circle of bias,2,2,2,2
totally incompetent,2,2,2,2
he choked!,2,2,2,2
one big lie!,2,2,2,2
Fake reporting,2,2,2,2
totally wrong in General E.,2,2,2,2
Fake sources,2,2,2,2
committed many crimes!,2,2,2,2
phony Witch Hunt,2,2,2,2
totally rigged,2,2,2,2
Total disgrace!,2,2,2,2
Weirdo,2,2,2,2
What does the Department of Justice and FBI have to hide? Stalling,2,2,2,2
Fools,2,2,2,2
Foul Mouthed Omar,2,2,2,2
phony stories,2,2,2,2
pile of garbage,2,2,2,2
cheater,2,2,2,2
Fraudulent,2,2,2,2
at it again,2,2,2,2
RIGGED ELECTION,2,2,2,2
arrogant,2,2,2,2
SUPPRESSION BY THE PRESS,2,2,2,2
a fraud and a hoax,2,2,2,2
lightweight Senator,2,2,2,2
a fraud!,2,2,2,2
a fraudulent mess,2,2,2,2
a total fraud,2,2,2,2
Sad,2,2,2,2
a total disgrace,2,2,2,2
should be impeached for fraud,2,2,2,2
should be ashamed of themselves for having such a horrible technical breakdown,2,2,2,2
mathematically dead and totally desperate,2,2,2,2
massive voter fraud,2,2,2,2
little watched,2,2,2,2
should change their fraudulent story,2,2,2,2
Not acceptable!,2,2,2,2
SCUM,2,2,2,2
Russian Witch Hunt,2,2,2,2
a total lightweight,2,2,2,2
should be ashamed of herself,2,2,2,2
"spend all of their time knocking the same person (me), over & over, without so much of a mention of “the other side”",2,2,2,2
a total scam,2,2,2,2
Nasty,2,2,2,2
Sick!,2,2,2,2
money-losing,2,2,2,2
"Nervous Nancy , getting Zero work done in Congress",2,2,2,2
seriously failing,2,2,2,2
lied to Congress,2,2,2,2
Never a fan,2,2,2,2
setting records in $’s per vote,2,2,2,2
stood for nothing,2,2,2,2
"She never made it, never will",2,2,2,2
a fool,2,2,2,2
a total mess!,2,2,2,2
mess!,2,2,2,2
mess,2,2,2,2
lies!,2,2,2,2
a total loser!,2,2,2,2
Not looking good!,2,2,2,2
a third rate reporter who knows nothing about me,2,2,2,2
NOTHING is being done,2,2,2,2
a nervous wreck,2,2,2,2
People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me,2,2,2,2
sleazy,2,2,2,2
low rated,2,2,2,2
Radical Left Mayor,2,2,2,2
Phony!,2,2,2,2
"slow walking, or even not giving, the unredacted documents requested by Congress",2,2,2,2
Radical Left Do Nothing Democrats,2,2,2,2
Radical Left Congresswomen,2,2,2,2
so pathetic,2,2,2,2
so indignant,2,2,2,2
RINO Republican,2,2,2,2
RINO Governor,2,2,2,2
a political hack,2,2,2,2
so false and angry,2,2,2,2
so biased,2,2,2,2
RIGGED!,2,2,2,2
shouldn’t even be allowed on the grounds of the White House because their reporting is so DISGUSTING & FAKE,2,2,2,2
shouldn't be allowed to do [his] bias commentary,2,2,2,2
looks like a little boy on stage,2,2,2,2
Rigged Russia Witch Hunt,2,2,2,2
Now act so hurt & wounded!,2,2,2,2
Obnoxious and greedy,2,2,2,2
Russian Hoax,2,2,2,2
a liar!,2,2,2,2
Rocket Man,2,2,2,2
Rigged Russian Witch Hunt,2,2,2,2
Opposition Party!,2,2,2,2
PRESIDENTIAL HARASSERS,2,2,2,2
so totally biased,2,2,2,2
Rigged Election!!!,2,2,2,2
PRESIDENTIAL HARASSMENT!,2,2,2,2
a lowlife,2,2,2,2
a scam!,2,2,2,2
a sad case,2,2,2,2
Pathetic,2,2,2,2
Really sad!,2,2,2,2
Slanted,2,2,2,2
such bad judgement,2,2,2,2
really dishonest newscasters,2,2,2,2
TREASON,2,2,2,2
The Amazon Washington Post,2,2,2,2
always looking to start World War III,2,2,2,2
no credibility,2,2,2,2
no clue,2,2,2,2
Lamestream Fake News,2,2,2,2
the big “piggy bank” that other countries have been ripping off for years,2,2,2,2
Leakin’ James Comey,2,2,2,2
Leakin’ Lyin’ James Comey,2,2,2,2
the enemy of the people,2,2,2,2
Liberal Fake News,2,2,2,2
a catastrophic disaster,2,2,2,2
THE ENEMY OF THE PEOPLE!,2,2,2,2
THE ENEMY OF THE PEOPLE,2,2,2,2
keep purposely and inaccurately reporting that I said the “Media is the Enemy of the People.”,2,2,2,2
keep putting on over and over again people that have no idea what I am all about and yet they speak as experts,2,2,2,2
Little Jeff Z,2,2,2,2
The Enemy of the People!,2,2,2,2
LIED,2,2,2,2
the Mueller Scam,2,2,2,2
it is dead,2,2,2,2
The Radical Left,2,2,2,2
really dumb puppet,2,2,2,2
really dumb statement,2,2,2,2
no ratings,2,2,2,2
The Greatest Witch Hunt In American History!,2,2,2,2
the opposition,2,2,2,2
the naïveté,2,2,2,2
Jeff Flake(y),2,2,2,2
LIE,2,2,2,2
no honor!,2,2,2,2
an advertisement without consequences,2,2,2,2
"an American fraud, a puppet for Crazy Nancy Pelosi",2,2,2,2
just doesn't get it,2,2,2,2
the greatest Witch Hunt in political history,2,2,2,2
the greatest Witch Hunt in U.S. political history,2,2,2,2
the greatest Witch Hunt in American History,2,2,2,2
T.V. ratings of CNN & MSNBC tanked last night,2,2,2,2
"all talk, no action",2,2,2,2
Mueller Scam,2,2,2,2
Sloppy,2,2,2,2
sadly weak on immigration,2,2,2,2
terrible ratings,2,2,2,2
So bad!,2,2,2,2
So bad for our Country,2,2,2,2
So Ridiculous!,2,2,2,2
a disaster in handling the H1N1 Swine Flu,2,2,2,2
Sloppy Steve,2,2,2,2
scam,2,2,2,2
knows nothing about me,2,2,2,2
Sleepyeyes Chuck Todd,2,2,2,2
screaming mental stability and intelligence,2,2,2,2
let our Country down,2,2,2,2
a disgrace to herself and her family,2,2,2,2
let the American people down,2,2,2,2
Mr. Meltdown,2,2,2,2
let us down,2,2,2,2
sad and pathetic fall,2,2,2,2
Lyin’ James Comey,2,2,2,2
Swampman,2,2,2,2
a corrupt disaster,2,2,2,2
Such dishonesty!,2,2,2,2
Losers!,2,2,2,2
the Failing New York Times,2,2,2,2
Strange,2,2,2,2
ridiculous quantitative tightening,2,2,2,2
never ending Witch Hunt,2,2,2,2
the Enemy of the People,2,2,2,2
ridiculously given a Navy Achievement Medal,2,2,2,2
nasty,2,2,2,2
rigged!,2,2,2,2
Lying,2,2,2,2
rigging election!,2,2,2,2
nasty lightweight reporter,2,2,2,2
rude,2,2,2,2
Lyin’,2,2,2,2
a dirty cop,2,2,2,2
Just about the most inaccurate,2,2,2,2
ratings are terrible,2,2,2,2
A total disgrace,2,2,2,2
very sick,2,2,2,2
doing everything possible to hurt and disparage our Country,2,2,2,2
want to protect illegal immigrants far more than the citizens of our country,2,2,2,2
very bad for our Country,2,2,2,2
Corrupt Media!,2,2,2,2
Corrupt News!,2,2,2,2
Corrupt politician,2,2,2,2
dishonesty,2,2,2,2
FAILED BADLY,2,2,2,2
Corrupt politician Adam “Shifty” Schiff,2,2,2,2
doing everything possible to make the Caronavirus look as bad as possible,2,2,2,2
fraud!,2,2,2,2
fought against me and the Republican Party harder than any Democrat,2,2,2,2
dishonest media outlet,2,2,2,2
very biased,2,2,2,2
very sad!,2,2,2,2
very boring,2,2,2,2
will do anything to stay at the trough,2,2,2,2
very sad,2,2,2,2
An embarrassment to our country!,2,2,2,2
very rude,2,2,2,2
gone stone cold CRAZY,2,2,2,2
distorted,2,2,2,2
failure,2,2,2,2
Bad people!,2,2,2,2
Ballot Scam,2,2,2,2
flunkie,2,2,2,2
FAKE!,2,2,2,2
Do Nothing Democrat,2,2,2,2
going out of their way to disparage our great First Responders,2,2,2,2
Ballot Hoax!,2,2,2,2
